TH	2,332247283
HE	2,030777134
IN	1,786649812
ER	1,616189917
AN	1,411162385
RE	1,321912635
ES	1,318317742
ON	1,251218457
ST	1,174380086
NT	1,134776111
EN	1,11817504
AT	1,080498305
ED	1,069990399
ND	1,068157803
TO	1,059124372
OR	1,003640593
EA	0,993422454
TI	0,981020987
AR	0,979690307
TE	0,893328936
NG	0,885088045
AL	0,878763437
IT	0,87494954
AS	0,86513089
IS	0,833209281
HA	0,761421008
ET	0,730376343
SE	0,720648237
OU	0,707413464
OF	0,703762031
LE	0,696740662
SA	0,679156422
VE	0,677067066
RO	0,663512346
RA	0,640096264
RI	0,63686966
HI	0,63307867
NE	0,630902709
ME	0,626087205
DE	0,61930666
CO	0,605651992
TA	0,597040171
EC	0,5966474
SI	0,570659503
LL	0,553675504
SO	0,545427062
NA	0,539489157
LI	0,536875186
LA	0,534881586
EL	0,505606792
MA	0,502030916
DI	0,497268965
IC	0,496982834
RT	0,493516796
NS	0,491914809
RS	0,49128712
IO	0,487951581
OM	0,466331266
CH	0,465295842
OT	0,461652469
CA	0,458707664
CE	0,45697988
HO	0,450945108
BE	0,448605269
TT	0,438327926
FO	0,438298973
TS	0,438140863
SS	0,437640894
NO	0,428464502
EE	0,42029618
EM	0,414722951
AC	0,414095632
IL	0,407296302
DA	0,404239945
NI	0,401683071
UR	0,390033956
WA	0,388512923
SH	0,371228549
EI	0,370048773
AM	0,366464211
TR	0,36503847
DT	0,363641289
US	0,361254522
LO	0,360721963
PE	0,35294808
UN	0,352413575
NC	0,352376399
WI	0,350619522
UT	0,344598694
AD	0,342263234
EW	0,338418738
OW	0,334124212
GE	0,324844121
EP	0,323698534
AI	0,318304192
LY	0,317944241
OL	0,317239791
FT	0,31492784
OS	0,313258287
EO	0,30695895
EF	0,305544975
PR	0,30540447
WE	0,303903658
DO	0,299976309
MO	0,298725957
ID	0,289663712
IE	0,28186706
MI	0,279545335
PA	0,277810996
FI	0,276043719
PO	0,275377024
CT	0,274546799
WH	0,270573078
IR	0,266914812
AY	0,260345187
GA	0,250173188
SC	0,246699553
KE	0,244923914
EV	0,244845508
SP	0,24423855
IM	0,242270474
OP	0,241585596
DS	0,237316503
LD	0,235646209
UL	0,235539382
OO	0,232346364
SU	0,231674804
IA	0,228857904
GH	0,227278825
PL	0,225578026
EB	0,220754971
IG	0,217268109
VI	0,211458758
IV	0,210935626
WO	0,210515221
YO	0,209059206
RD	0,20638661
TW	0,205395404
BA	0,204047443
AG	0,203567348
RY	0,203267227
AB	0,200947934
LS	0,200896559
SW	0,198132701
AP	0,197562387
FE	0,196362691
TU	0,195635124
CI	0,193593206
FA	0,193445473
HT	0,193163466
FR	0,191993952
AV	0,191937852
EG	0,18967357
GO	0,189295715
BO	0,187926236
BU	0,185509127
TY	0,181484679
MP	0,177124973
OC	0,176274018
OD	0,175091023
EH	0,174638885
YS	0,174377631
EY	0,170895032
RM	0,170247052
OV	0,17020017
GT	0,167688348
YA	0,166890226
CK	0,164528754
GI	0,163636869
RN	0,161907255
GR	0,161538966
RC	0,160774153
BL	0,157907268
LT	0,155518672
YT	0,151814242
OA	0,150542232
YE	0,143899298
OB	0,141448833
DB	0,140957782
FF	0,140690853
SF	0,136572898
RR	0,135764492
DU	0,134676905
KI	0,133009831
UC	0,132964177
IF	0,132087533
AF	0,132071597
DR	0,131639032
CL	0,130855179
EX	0,129266024
SM	0,128766981
PI	0,128638983
SB	0,127727827
CR	0,12515189
TL	0,123611076
OI	0,123470733
RU	0,122923882
UP	0,121189589
BY	0,120372937
TC	0,120004231
NN	0,11899461
